drug_name,oligo_class,target,indication,route,backbone_chemistry,sugar_mods,gapmer_design,conjugation,length_nt,sequence_5to3,approval_status,nephrotox_grade,endpoint_raw,evidence_source,evidence_confidence,source_ref,curation_notes
Fomivirsen,gapmer_ASO,CMV IE2,CMV retinitis,intravitreal,full_PS,DNA,n/a,none,21,TBD,approved_withdrawn,0,"local intravitreal; no systemic renal exposure",clinical,high,NAR2023,"first approved ASO; route limits systemic renal risk"
Mipomersen,gapmer_ASO,APOB,HoFH,SC,full_PS,2'-MOE,5-10-5,none,20,TBD,approved_withdrawn_mkt,1,"mild proteinuria reported; hepatotoxicity is primary tox",clinical,medium,"NephrotoxRev2022; ASO_ADR2024","verify proteinuria incidence vs placebo"
Inotersen,gapmer_ASO,TTR,hATTR polyneuropathy,SC,full_PS,2'-MOE,5-10-5,none,20,TBD,approved,3,"glomerulonephritis ~3%; UPCR>5xULN ~15%; dialysis-dependent renal failure cases",clinical,high,"NephrotoxRev2022; label","strongest clinical renal signal; REMS-monitored"
Eplontersen,gapmer_ASO,TTR,hATTR,SC,full_PS,2'-MOE,5-10-5,GalNAc,20,TBD,approved,1,"GalNAc enables lower dose vs inotersen; reduced renal signal",clinical,medium,label,"contrast pair with inotersen for chemistry-vs-conjugation effect"
Volanesorsen,gapmer_ASO,APOC3,familial chylomicronemia,SC,full_PS,2'-MOE,5-10-5,none,20,TBD,approved_EMA,2,"FSGS case; proteinuria/albuminuria ~7%; thrombocytopenia primary",clinical,medium,"label; ASO_ADR2024","verify FSGS attribution"
Olezarsen,gapmer_ASO,APOC3,familial chylomicronemia,SC,full_PS,2'-MOE,5-10-5,GalNAc,20,TBD,approved_2024,0,"no clear renal signal reported to date",clinical,low,TIDES2024,"recent approval; monitor emerging data"
Nusinersen,splice_switch_ASO,SMN2,spinal muscular atrophy,intrathecal,full_PS,2'-MOE,n/a,none,18,TBD,approved,1,"proteinuria reported; renal monitoring (incl. cystatin C) in label",clinical,medium,label,"intrathecal route; systemic exposure limited"
Tofersen,gapmer_ASO,SOD1,SOD1-ALS,intrathecal,full_PS,2'-MOE,5-10-5,none,20,TBD,approved,1,"proteinuria observed in trials; intrathecal",clinical,low,label,"verify renal AE rates"
Eteplirsen,PMO,DMD exon51,Duchenne MD,IV,phosphorodiamidate_morpholino,morpholino,n/a,none,30,TBD,approved,1,"PMO renal accumulation; generally well tolerated clinically",clinical,medium,"NephrotoxRev2022","PMO class; uncharged backbone differs from PS"
Golodirsen,PMO,DMD exon53,Duchenne MD,IV,phosphorodiamidate_morpholino,morpholino,n/a,none,25,TBD,approved,2,"label warns renal toxicity incl. potentially fatal glomerulonephritis (nonclinical basis)",in_vivo_animal,medium,label,"renal warning derived from animal data, not confirmed clinical"
Viltolarsen,PMO,DMD exon53,Duchenne MD,IV,phosphorodiamidate_morpholino,morpholino,n/a,none,21,TBD,approved,1,"monitor renal function per label",clinical,low,label,"PMO class caution"
Casimersen,PMO,DMD exon45,Duchenne MD,IV,phosphorodiamidate_morpholino,morpholino,n/a,none,22,TBD,approved,2,"label warns renal toxicity based on nonclinical (PMO class)",in_vivo_animal,medium,label,"animal-derived warning"
Drisapersen,gapmer_ASO,DMD exon51,Duchenne MD,SC,full_PS,2'-OMe,n/a,none,20,TBD,not_approved_withdrawn,1,"reversible LMW proteinuria; ciPTEC receptor-mediated reabsorption inhibition (albumin/A1M/RAP); no viability loss to 7d",clinical+in_vitro_human,high,"PMC6796739","best-characterized mechanistic anchor; links clinical to in-vitro"
Patisiran,siRNA,TTR,hATTR,IV,PO/PS_mixed,2'-OMe/2'-F,n/a,lipid_LNP,21,TBD,approved,0,"no significant renal signal",clinical,medium,label,"LNP delivery; guide-strand length"
Givosiran,GalNAc_siRNA,ALAS1,acute hepatic porphyria,SC,PS_2'-OMe_2'-F,2'-OMe/2'-F,n/a,GalNAc,21,TBD,approved,1,"serum creatinine increase / eGFR decrease reported; chronic renal AEs in label",clinical,medium,label,"clearest renal signal among GalNAc-siRNAs"
Lumasiran,GalNAc_siRNA,HAO1,primary hyperoxaluria 1,SC,PS_2'-OMe_2'-F,2'-OMe/2'-F,n/a,GalNAc,21,TBD,approved,0,"indicated for kidney-protective effect; no nephrotoxic signal",clinical,low,label,"note: disease targets kidney; not drug toxicity"
Inclisiran,GalNAc_siRNA,PCSK9,hypercholesterolemia,SC,PS_2'-OMe_2'-F,2'-OMe/2'-F,n/a,GalNAc,21,TBD,approved,0,"no renal signal",clinical,medium,label,
Vutrisiran,GalNAc_siRNA,TTR,hATTR,SC,PS_2'-OMe_2'-F,2'-OMe/2'-F,n/a,GalNAc,21,TBD,approved,0,"no renal signal",clinical,medium,label,
Nedosiran,GalNAc_siRNA,LDHA,primary hyperoxaluria,SC,PS_2'-OMe_2'-F,2'-OMe/2'-F,n/a,GalNAc,21,TBD,approved,0,"indicated for kidney-related disease; no nephrotoxic signal",clinical,low,label,
Pegaptanib,aptamer,VEGF165,neovascular AMD,intravitreal,PEG,2'-F/2'-OMe_RNA,n/a,PEG,27,TBD,approved,0,"local intravitreal; no systemic renal",clinical,low,NAR2023,"first aptamer drug"
Avacincaptad_pegol,aptamer,complement_C5,geographic atrophy,intravitreal,PEG,RNA,n/a,PEG,TBD,TBD,approved_2023,0,"local intravitreal",clinical,low,label,"verify length/chemistry"
